country;year;sector;subsector;label;collective_dose_total;average_dose_monitored;average_dose_exposed;total_workers_number;D < RL;RL <= D < 150 mSv;150 mSv <= D < 500 mSv;500 mSv <= D
Greece;2010;;Radiotherapy;Hp0.07skin;0.025;0.050;0.510;512;463;49;0;0;;;
Greece;2010;;Nuclear medicine;Hp0.07skin;0.409;0.470;0.940;879;445;434;0;0;;;
Greece;2010;;Veterinary units;Hp0.07skin;0.000;0.010;0.110;12;11;1;0;0;;;
Greece;2010;INDUSTRY;;Hp0.07skin;0.306;0.370;1.270;833;593;240;0;0;;;
Greece;2010;;Industrial radiography;Hp0.07skin;0.198;0.750;1.920;262;159;103;0;0;;;
Greece;2010;;Radioisotopes production and conditioning;Hp0.07skin;0.004;0.390;0.700;9;4;5;0;0;;;
Greece;2010;;Industrial irradiation;Hp0.07skin;0.000;0.010;0.100;15;14;1;0;0;;;
Greece;2010;;Industrial logistics and maintenance = support activities;Hp0.07skin;0.090;0.210;0.860;424;319;105;0;0;;;
Greece;2010;;Other industrial activities;Hp0.07skin;0.014;0.110;0.540;123;97;26;0;0;;;
Greece;2010;TRANSPORT;;Hp0.07skin;0.034;0.390;0.870;86;47;39;0;0;;;
Greece;2010;RESEARCH AND EDUCATION;;Hp0.07skin;0.006;0.020;0.250;253;229;24;0;0;;;
Greece;2010;;Regulatory control activities;Hp0.07skin;0.001;0.030;0.250;32;28;4;0;0;;;
